Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
neko_886f0fcf	mc	I have a small favour to ask, you’re working on the big project right?	game/script.rpy	536	mc "[what]"
neko_380d1039	neko	{b}Yeah, what of it? Come to see my masterpiece?{/b}	game/script.rpy	538	neko happy "[what]"
neko_d5af0939	mc	Y-yeah, totally, totally... I’ve heard rumors from the other third years that it’s the strongest piece of art in the region.	game/script.rpy	540	mc bashful "[what]"
neko_20bea883	mc	I’d be honored if you let me share it for you, if that’s true of course.	game/script.rpy	541	mc shy "[what]"
neko_9e73f7f7	neko	{b}OF COURSE IT IS! THOSE ****S ARE FINALLY GONNA SEE HENTAI AS ART!{/b}	game/script.rpy	545	neko threaten "[what]"
neko_96a69111	neko	{b}Take good care of it or you’ll be sucking burgers through a straw ‘til graduation.{/b}	game/script.rpy	546	neko submit "[what]"
herra_cb751119	herra	Wait it’s not what it looks like!	game/script.rpy	554	herra "[what]" with vpunch
herra_b54ebadd	herra	Oh it’s just you MC-kun. What are you doing up here?	game/script.rpy	559	herra talking "[what]"
herra_e150ff1e	mc	Well Steve and Pico got me these imported chocolates for Valentines Day!	game/script.rpy	561	mc "[what]"
herra_963b57d6	mc	I know you were part of the big art project, can I preeeeetty please have your piece? It’s for love...	game/script.rpy	562	mc worried "[what]"
herra_79b7b56f	herra	Imported... Those sound like the chocolates I got Pico for Valentines Day.	game/script.rpy	564	herra confused "[what]"
herra_408296cc	mc	Haha not really sure what you mean by that can I have the picture?	game/script.rpy	566	mc shy "[what]"
herra_5039704d	herra	Sure, it might have a little spray paint on it though...	game/script.rpy	570	herra submit "[what]"
surprise_meeting_0a5e8462		You suddenly find yourself running into someone.	game/script.rpy	579	"[what]" with hpunch
surprise_meeting_0f84913a	p	Oof, Watch where you’re...	game/script.rpy	586	p angryalt_uniform "[what]"
surprise_meeting_46b5397f	p	MC-kun you’re back! I was worried you were gonna miss the Promdancestravaganza(tm)	game/script.rpy	587	p happy_uniform "[what]"
surprise_meeting_5ba6bc76	mc	Oh, hi Pico.. I wouldn’t miss it for the world.	game/script.rpy	589	mc shy "[what]"
surprise_meeting_76071c2a	p	Funny running into you right now!	game/script.rpy	591	p "[what]"
surprise_meeting_7c3a15b3	p	I was just on my way to target practice.	game/script.rpy	592	p @ gremlin "[what]"
surprise_meeting_10fee27c	p	Care to join?	game/script.rpy	593	p "[what]"
surprise_meeting_16c86884	mc	{i}If I don’t come up with something fast I’ll be the target!{/i}	game/script.rpy	595	mc "[what]"
surprise_meeting_ce3b4c34	mc	OH yeah would love to but I uhh	game/script.rpy	596	mc worried "[what]"
surprise_meeting_d233e0c4	mc	I gotta go to the optometrist for my teeth whitening appointment! I mean...	game/script.rpy	597	mc "[what]" with hpunch
surprise_meeting_12faea79	mc	I left my oven outside! Or uhh what I was trying to say was...	game/script.rpy	598	mc "[what]" with hpunch
surprise_meeting_e70ea66d	mc	Gotta take out the trash!	game/script.rpy	599	mc nervous "[what]" with vpunch
surprise_meeting_8623a3b5	mc	WOAH would you look at the time gotta scoot see you later okay bye!	game/script.rpy	601	mc "[what]" with easeoutleft
surprise_meeting_6008eb94	p		game/script.rpy	603	p talking_uniform "[what]"
surprise_meeting_a9e1d2ca	p	What?	game/script.rpy	604	p sideeye_uniform "[what]"
surprise_meeting_30448568		You suddenly find yourself running into someone. Again.	game/script.rpy	609	"[what]" with hpunch
surprise_meeting_689a45ce	mc	Oh shit I’m sorry	game/script.rpy	617	mc "[what]"
surprise_meeting_b092b39b	s	Sorry for what?	game/script.rpy	622	s "[what]"
surprise_meeting_e003432d	mc	For bumping into you.	game/script.rpy	624	mc neutral "[what]"
surprise_meeting_f99576f6	s	Oh you know you can bump into me any time.	game/script.rpy	626	s "[what]"
surprise_meeting_4f7de466	s	With your cock.	game/script.rpy	627	s flirt_uniform "[what]"
surprise_meeting_3f18529a	mc	Oh, you mean like a rooster?	game/script.rpy	629	mc nervous "[what]"
surprise_meeting_dc608a65	s	Yeah, right, like a rooster.	game/script.rpy	631	s "[what]"
surprise_meeting_12ece584	mc	Heh, scared me there for a sec.	game/script.rpy	633	mc shy "[what]"
surprise_meeting_0c1d971d	s	Yep...	game/script.rpy	635	s talking_uniform "[what]"
surprise_meeting_40426ffa	mc	...	game/script.rpy	637	mc bashful "[what]"
surprise_meeting_da3419db	mc	I should get going now.	game/script.rpy	640	mc "[what]" with easeoutleft
surprise_meeting_9e5ce378	s	Yyyeah. See you at the Promdancestravaganza(tm)	game/script.rpy	642	s "[what]"
surprise_meeting_e133e277	mc	My mc-senses are tingling...	game/script.rpy	652	mc worried "[what]"
surprise_meeting_a115e95d	ps	MC-kun!	game/script.rpy	658	ps "[what]"
surprise_meeting_a33478ed	mc	Insipid startled sounds.	game/script.rpy	661	mc "[what]" with easeoutright
surprise_meeting_e27f861f	p	What gives? Do you think he’s mad at us?	game/script.rpy	663	p confusedalt_uniform "[what]"
surprise_meeting_f3a03a29	s	I don’t think so...	game/script.rpy	665	s "[what]"
surprise_meeting_11ff3b60	s	Wait, did you brush your teeth today?	game/script.rpy	666	s talking_uniform "[what]"
surprise_meeting_13493a37	p	Yeah of course. You must have that nasty swamp-ass today.	game/script.rpy	668	p happy_uniform "[what]"
surprise_meeting_efeb0c4c	s	Ugh, I know! It’s only natural in a sub-tropical climate like this. Anyway, I should probably change before the Promdancestravagnza(tm)	game/script.rpy	670	s "[what]"
surprise_meeting_ed42e31b	p	Ditto. I can feel it coming on too...	game/script.rpy	672	p sideeye_uniform "[what]"
second_part_7f0c36b8	t	Took you long enough MC-kun!	game/script.rpy	683	t "[what]"
second_part_fc4dba1b	t	It's almost time.	game/script.rpy	684	t @ threaten "[what]" with dissolve
second_part_dc79370d	mc	Haha, yeah I'm pretty slow sometimes.	game/script.rpy	687	mc "[what]" with easeinleft
second_part_92157801	t	You’ve got that right, now hand over the pieces.	game/script.rpy	689	t "[what]"
second_part_ff604f58	t	I’ll put it together while you go get ready and we’ll meet back at the hallway outside of the gym.	game/script.rpy	690	t "[what]"
second_part_920b57cc	mc	Man, some of the places in this school are really poorly made	game/script.rpy	699	mc "[what]"
second_part_826e7985	t	Yeah they must’ve spent most of their time setting up the gym	game/script.rpy	701	t "[what]"
second_part_a8432ce6	t	But that’s not important right now! Here, I’ve put it back together for you	game/script.rpy	703	t angry "[what]"
second_part_9de1eb87		Collage get!	game/script.rpy	706	"[what]"
second_part_3984b802	t	Well, what are you standing around here for? Get in there!	game/script.rpy	708	t talking "[what]"
second_part_135b39c0	mc	But what do I say? What should I do?	game/script.rpy	710	mc worried "[what]"
second_part_dbc43aaa	mc	Oh man I’m YIIKING OUT RIGHT NOW	game/script.rpy	711	mc @ yiiking "[what]"
second_part_8ca1aa71	t	I think you just need to get out there and speak from the heart.	game/script.rpy	713	t unu "[what]"
second_part_6c334037	t	When you stay true to yourself MC-kun it doesn’t matter who you talk to, they’ll understand.	game/script.rpy	714	t "[what]"
second_part_43616f4f	mc	You really mean that?	game/script.rpy	716	mc shy "[what]"
second_part_448f63c0	t	I mean kinda I guess.	game/script.rpy	718	t talking "[what]"
second_part_7cae7e42	t	Now get that dick!	game/script.rpy	719	t "[what]" with vpunch
second_part_b7e61c39	mc	What?	game/script.rpy	721	mc nervous "[what]"
second_part_556ce677		You suddenly find yourself pushed through the doors, skidding across the gym floor on your face.	game/script.rpy	725	"[what]"
at_prom_9024cdd3	mc	Man, I hate it when that happens...	game/script.rpy	736	mc "[what]"
at_prom_112b2813	p	Are you alright MC-kun? We’ve been trying to reach you about your car’s extended warranty.	game/script.rpy	739	p "[what]" with easeinright
at_prom_6162234b	s	Shut up Pico, do you know how much that dates the game!?	game/script.rpy	744	s "[what]" with easeinleft
at_prom_048bbf40	s	We’ve been trying to corner your tight ass all day.	game/script.rpy	745	s flirt_formal "[what]"
at_prom_05c6b043	mc	{i}Oh Crap{/i}	game/script.rpy	747	mc "[what]"
at_prom_8580e8dd	mc	Hi Pico, Hi Steve	game/script.rpy	748	mc "[what]"
at_prom_1c74e0ec	s	You really went all out for this Promdancestravaganza(tm) huh.	game/script.rpy	750	s "[what]"
at_prom_b2ad58dd	p	Well now that you’re here we can finally get to our dance.	game/script.rpy	754	p happy_formal "[what]"
at_prom_94d1e3c1	s	Hate to shatter your sad, naive delusions, but MC-kun is obviously here to ask yours truly.	game/script.rpy	758	s confused_formal "[what]"
at_prom_f6efa5c9	p	In your dreams, why would they ever want to dance with a *cock joke* like you?	game/script.rpy	762	p angry_formal "[what]"
at_prom_6b0ed824	mc	Um...	game/script.rpy	764	mc "[what]"
choose_steve_4d233513	s	Oh.. This looks... Great.. Thanks	game/script.rpy	800	s who_formal "[what]"
choose_steve_cab5a18c	mc	I kinda figured you'd say that, so I also got you this.	game/script.rpy	803	mc "[what]" with ease
choose_steve_71c6bd7d	s	Is that... A pretty pink birthday cake with my face on it? You didn't do this because I referenced it at the beginning of the game.. Did you?	game/script.rpy	805	s shockedalt_formal "[what]"
choose_steve_6a0d748f	mc	No Steve, I did it because I care.	game/script.rpy	808	mc bashful "[what]"
choose_steve_c296292f	s	Just kiss me you black and white son of a gun!	game/script.rpy	813	s love "[what]"
choose_pico_de168f59	p	Don't do this... I have a dark secret	game/script.rpy	824	p sideeye_formal "[what]"
choose_pico_09ecc967	mc	I know what you are...	game/script.rpy	827	mc "[what]" with ease
choose_pico_3baf3d9b	p	Then say it. Out loud.	game/script.rpy	831	p @ angry_formal "[what]"
choose_pico_5215a07e	mc	...	game/script.rpy	833	mc nervous "[what]"
choose_pico_b0fce5b6	mc	... A character in a wildly popular rhythm game	game/script.rpy	835	mc "[what]"
choose_pico_20478040	mc	But I love every part of you! From the edgy flash game you to the freaky on a friday night you! You make me feel warm inside	game/script.rpy	837	mc worried "[what]"
choose_pico_16f5a886	p	MC-kun... Would you like me to make you feel warm on the outside?	game/script.rpy	842	p love "[what]"
choose_trash_09db17f8	ps	WHAT?!	game/script.rpy	851	ps "[what]" with vpunch
choose_trash_9920d070	s	Who the **** is Trash-Can?!	game/script.rpy	853	s who_formal "[what]"
choose_trash_8c47b6ff	p	Forget this, you two deserve each-other, you ARE Trash!	game/script.rpy	855	p angry_formal "[what]"
choose_trash_cb259779	t	Is.. Is that how you really feel MC-kun?	game/script.rpy	866	t "[what]"
choose_trash_e69d68d7	mc	Yes, Trash-Can, you've always been there when I've needed help.	game/script.rpy	868	mc "[what]"
choose_trash_00b41ec2	mc	You complete me!	game/script.rpy	870	mc happy "[what]"
choose_trash_12b31482	t	Oh MC-kun, Kiss me!	game/script.rpy	872	t talking "[what]"
skip_credits_8d6f64af	centered		game/script.rpy	913	centered "[what]"
